node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,50534.66558456421,8571,39676.452400002745,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0042855,0.07003252005948393,0.08571937108781282,0,10
retrieval_sources,6.721099991409574,0,0.0,0,0,0,0,0,,9,0,9,18,18,336,500,336,164,0,0,0,0,json_fallback;faiss,,,6.563700007973239,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,1.1400658490909475e-05,0,10
analysis_audience,78734.5724105835,11980,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0059900000000000005,0.09788701322046639,0.13355343212095142,0,10
analysis_painpoint,65115.85593223572,11617,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0058085,0.09492098769467096,0.11045269922713798,0,10
analysis_dopamine,21109.217166900635,2575,0.0,0,0,0,0,0,,9,0,9,18,18,336,500,336,164,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0012875,0.02103998823394833,0.03580648647362348,0,10
cognitive_synthesis,100551.44453048706,27176,50195.316800010914,30503,0,50,20,0,,9,0,9,18,18,336,500,336,164,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.013588,0.22205154184302126,0.17056027753268005,0,10
strategy,133453.18818092346,26303,59004.746099999466,26159,10,40,20,0,,9,0,10,20,20,336,500,336,164,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0131515,0.2149183730165215,0.22636982412378903,0,10
storyboard,140030.45678138733,34164,67086.12840001297,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.017082,0.27914957593188766,0.2375265087755144,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,337,500,337,163,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
