node,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,53100.722789764404,9392,0.0005,0.004696,0.07687144985185548,0.09313261308695621,0,10
analysis_audience,65005.06234169006,10433,0.0005,0.0052165,0.08539180539868062,0.1140114672964313,0,10
analysis_painpoint,56935.17088890076,10752,0.0005,0.005376000000000001,0.08800275008594019,0.09985779783882398,0,10
analysis_dopamine,21972.602367401123,2479,0.0005,0.0012395000000000002,0.020290068588452913,0.03853743917759177,0,10
cognitive_synthesis,110780.6043624878,27983,0.0005,0.0139915,0.22903468709587652,0.19429654855130316,0,10
strategy,127687.09325790405,27116,0.0005,0.013558,0.22193848319664752,0.22394860235082753,0,10
storyboard,134681.23626708984,34023,0.0005,0.017011500000000002,0.27847075578254676,0.23621553169806608,0,10
