node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,45395.64037322998,8856,35048.43669999718,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.004428,0.06911190884969565,0.08034022367512157,0,10
retrieval_sources,8.907500001441804,0,0.0,0,0,0,0,0,,9,0,9,18,18,366,500,366,134,0,0,0,0,json_fallback;faiss,,,8.702399994945154,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,1.57643010786558e-05,0,10
analysis_audience,60558.23540687561,11122,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.005561,0.08679569221164352,0.10717465681634311,0,10
analysis_painpoint,75502.88891792297,13572,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0067859999999999995,0.10591540502575308,0.13362338175894287,0,10
analysis_dopamine,22055.615425109863,2599,0.0,0,0,0,0,0,,9,0,9,18,18,366,500,366,134,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0012995,0.020282503511783987,0.039033551723850486,0,10
cognitive_synthesis,104585.69240570068,28556,46027.3171000008,30654,0,50,20,0,,9,0,9,18,18,366,500,366,134,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.014278,0.2228500078039644,0.18509349911156694,0,10
strategy,120588.9458656311,26588,46504.59269999919,27918,10,40,20,0,,9,0,10,20,20,366,500,366,134,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.013294,0.20749180583736537,0.21341571137533885,0,10
storyboard,136346.56834602356,36847,63760.92739999876,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.018423500000000002,0.28755267675979396,0.24130321123775741,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,367,500,367,133,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
