category,total_latency_ms,total_tokens,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_nodes,node_count
balsamic_vinegar,61834.40668675394,13150,0.0005,0.006575,0.10262213204307788,0.10943319717903513,,9
printer,50549.519381494974,12166,0.0005,0.006083000000000001,0.09494303105977837,0.08946144740749343,,9
women_bras,57391.226927189564,13137,0.0005,0.0065685000000000006,0.10252068050569689,0.10156975362416286,,9
girls_overalls,58453.11780166958,13130,0.0005,0.0065650000000000005,0.10246605275479943,0.10344906515436442,,9
protein_powder,49323.30235762856,12279,0.0005,0.0061395,0.09582487903855158,0.08729131500795657,,9
phone_case,58089.74153382587,12385,0.0005,0.0061925,0.09665209926642734,0.10280596968535524,,9
desk_lamp,56985.83130352745,12556,0.0005,0.006278,0.09798657718120805,0.10085229320694764,,9
baby_stroller,59470.767830754994,13089,0.0005,0.0065445,0.10214609021382863,0.10525008019209764,,9
pet_hair_vacuum,56791.87240824649,13176,0.0005,0.006588,0.10282503511783986,0.10050902894406831,,9
skincare_serum,56152.708009403796,13072,0.0005,0.006536,0.10201342281879194,0.09937784959851868,,9
