node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,43738.07740211487,8270,34493.693799980974,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.004135,0.06695434636527765,0.08062117822882124,0,10
retrieval_sources,5.8202999862260185,0,0.0,0,0,0,0,0,,9,0,9,18,18,306,500,306,194,0,0,0,0,json_fallback;faiss,,,5.666499993822072,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,1.0728396637572471e-05,0,10
analysis_audience,55700.00338554382,10687,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0053435,0.08652250297529894,0.1026702627782798,0,10
analysis_painpoint,60170.87817192078,11904,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.005952,0.09637539771853267,0.11091130158017763,0,10
analysis_dopamine,20361.178159713745,2583,0.0,0,0,0,0,0,,9,0,9,18,18,306,500,306,194,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0012915000000000001,0.020912101168260238,0.037531191832489895,0,10
cognitive_synthesis,101569.04578208923,28178,45547.971399988455,30629,0,50,20,0,,9,0,9,18,18,306,500,306,194,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.014089,0.2281305407352834,0.1872193893491344,0,10
strategy,130689.64624404907,27527,54521.68339998752,27264,10,40,20,0,,9,0,10,20,20,306,500,306,194,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.013763500000000001,0.22286001117255114,0.24089658001276512,0,10
storyboard,130278.84840965271,34368,57826.44019999134,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.017184,0.27824509986479595,0.24013936782169423,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,307,500,307,193,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
