node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,50957.037687301636,8276,40567.60059999942,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.004138,0.0668011946081201,0.08189011341369144,0,10
retrieval_sources,6.093599989981158,0,0.0,0,0,0,0,0,,9,0,9,18,18,286,500,286,214,0,0,0,0,json_fallback;faiss,,,5.933300002652686,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,9.792672747960327e-06,0,10
analysis_audience,81755.07283210754,11880,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.005940000000000001,0.09589151666801195,0.13138385766161306,0,10
analysis_painpoint,68648.17810058594,11617,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0058085,0.09376866575187666,0.11032052382631263,0,10
analysis_dopamine,21163.296222686768,2559,0.0,0,0,0,0,0,,9,0,9,18,18,286,500,286,214,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0012795,0.02065542013076116,0.03401031155928521,0,10
cognitive_synthesis,115584.89775657654,27483,50328.14130001134,30405,0,50,20,0,,9,0,9,18,18,286,500,286,214,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0137415,0.2218338848978933,0.18574981623303233,0,10
strategy,128351.11665725708,24998,52618.64559999594,27552,10,40,20,0,,9,0,10,20,20,286,500,286,214,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.012499000000000001,0.2017757688271854,0.20626566960849765,0,10
storyboard,155795.47595977783,37077,76308.48420000984,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0185385,0.29927354911615145,0.2503699150248197,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,287,500,287,213,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
