node,total_latency_ms,total_tokens,total_reasoning_latency_ms,total_input_size_char,memory_context_used_count,total_evidence_count,total_trend_signal_count,fallback_count,fallback_indicators,max_memory_write_count,max_memory_skipped_count,max_memory_retrieval_count,max_memory_retrieval_hits_success,max_memory_retrieval_hits_failure,max_memory_record_count_total,max_memory_record_limit,max_memory_peak_record_count,min_memory_remaining_capacity,memory_limit_reached_count,max_memory_pruned_count,max_faiss_fallback_count,max_faiss_recovery_count,memory_backends,memory_faiss_errors,faiss_fallback_traces,adapter_fetch_latency_ms,adapter_fallback_count,adapter_names,source_names,adapter_enabled_states,adapter_fallback_reasons,adapter_source_types,adapter_confidences,cost_per_1k_tokens_usd,estimated_cost_usd,token_share,latency_share,failed_count,run_count
planner,46614.76945877075,8613,35434.35920000047,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0043064999999999996,0.06949218182698359,0.08622855237404875,0,10
retrieval_sources,8.373000000574393,0,0.0,0,0,0,0,0,,9,0,9,18,18,384,500,384,116,0,0,0,0,json_fallback;faiss,,,8.180800003174227,0,LocalReviewAdapter;MockTrendAdapter,local_review_dataset;tiktok_trend_mock,True,,local_dataset;mock,0.75;0.35,0.0005,0.0,0.0,1.5488474521278443e-05,0,10
analysis_audience,58866.67346954346,10879,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0054395,0.08777492698197543,0.10889226945215508,0,10
analysis_painpoint,60101.226806640625,11771,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.0058855,0.09497184166787691,0.11117596082985447,0,10
analysis_dopamine,21873.433589935303,2571,0.0,0,0,0,0,0,,9,0,9,18,18,384,500,384,116,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0012855000000000002,0.020743573607009732,0.040461736394046106,0,10
cognitive_synthesis,100532.54294395447,27919,45138.79480000469,30319,0,50,20,0,,9,0,9,18,18,384,500,384,116,0,0,0,0,json_fallback;faiss,,,0.0,0,,,,,,,0.0005,0.0139595,0.22525858869471205,0.18596628804967774,0,10
strategy,122258.14008712769,27387,49380.05499999781,27151,10,40,20,0,,9,0,10,20,20,384,500,384,116,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0136935,0.22096625841119233,0.22615455483440416,0,10
storyboard,130340.36469459534,34802,58252.27630000518,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0.0,0,,,,,,,0.0005,0.017401,0.28079262881024997,0.24110514959129237,0,10
analytics_memory,0.0,0,0.0,0,0,0,0,0,,10,0,10,20,20,385,500,385,115,0,0,0,0,faiss,,,0.0,0,,,,,,,0.0005,0.0,0.0,0.0,0,10
